"2342","1592","2333","2307","1414","1551","1414","11","0","2","0","0","0","0"
" RowID","","","Product Name","System SKU","Barcode","Product SKU","บาร์โค้ดจริง","","หน่วย","","","",""
"SKU-596-1521","596","1521","มาม่าคัพ โอเค 80 ก. รสชีสซี โคชูจังแบบแห้ง  (มาม่าคัพ โอเค 80 ก. รสชีสซี โคชูจังแบบแห้ง แพค3 ถ้วย)","U00001057","-","U00001057","","","","","","",""
"SKU-597-1525","597","1525","ยำยำ7บ รสหมูสับ   (ยำยำ7บ รสหมูสับ  )","U00001058","-","U00001058","","","","","","",""
"SKU-597-1523","597","1523","ยำยำ7บ รสหมูสับ   (ยำยำ7บ รสหมูสับ  กล่อง30ซ)","U00001058","8850250170730","U00001058","","","","","","",""
"SKU-597-1524","597","1524","ยำยำ7บ รสหมูสับ   (ยำยำ7บ รสหมูสับ  มัดx3 กล่อง30ซ)","U00001058","-","U00001058","","","","","","",""
"SKU-598-1528","598","1528","ยำยำ7บ รสต้มยำกุ้ง (ยำยำ7บ รสต้มยำกุ้ง)","U00001059","-","U00001059","","","","","","",""
"SKU-598-1526","598","1526","ยำยำ7บ รสต้มยำกุ้ง (ยำยำ7บ รสต้มยำกุ้ง	กล่อง30ซ)","U00001059","8850250172994","U00001059","","","","","","",""
"SKU-598-1527","598","1527","ยำยำ7บ รสต้มยำกุ้ง (ยำยำ7บ รสต้มยำกุ้ง	มัดx3 กล่อง30ซ)","U00001059","-","U00001059","","","","","","",""
"SKU-599-1531","599","1531","ยำยำ7บ รสต้มยำกุ้งน้ำข้น (ยำยำ7บ รสต้มยำกุ้งน้ำข้น)","U00001060","-","U00001060","","","","","","",""
"SKU-599-1529","599","1529","ยำยำ7บ รสต้มยำกุ้งน้ำข้น (ยำยำ7บ รสต้มยำกุ้งน้ำข้น	กล่อง30ซ)","U00001060","8850250172864","U00001060","","","","","","",""
"SKU-599-1530","599","1530","ยำยำ7บ รสต้มยำกุ้งน้ำข้น (ยำยำ7บ รสต้มยำกุ้งน้ำข้น	มัดx3 กล่อง30ซ)","U00001060","-","U00001060","","","","","","",""
"SKU-600-1532","600","1532","ภูเขาทอง ซอสปรุงรสฝาเขียว 200 มล (ภูเขาทอง ซอสปรุงรสฝาเขียว 200 มล	แพคx6)","U00001027","-","U00001027","","","","","","",""
"SKU-600-1533","600","1533","ภูเขาทอง ซอสปรุงรสฝาเขียว 200 มล (ภูเขาทอง ซอสปรุงรสฝาเขียว 200 มล หีบx4แพค6)","U00001027","-","U00001027","","","","","","",""
"SKU-601-1535","601","1535","รีจอยส์ แชมพู 60มล ริช (รีจอยส์ แชมพู 70มล ริช แพคx6)","U00001078","4902430396660","U00001078","","","","","","",""
"SKU-601-1536","601","1536","รีจอยส์ แชมพู 60มล ริช (รีจอยส์ แชมพู 70มล ริช	หีบx8 แพค6)","U00001078","14902430396650","U00001078","","","","","","",""
"SKU-602-1538","602","1538","รีจอยส์ แชมพู 70มล แอนตี้แฮร์ฟอล (รีจอยส์ แชมพู 70มล แอนตี้แฮร์ฟอล แพคx6)","U00001079","-","U00001079","","","","","","",""
"SKU-602-1539","602","1539","รีจอยส์ แชมพู 70มล แอนตี้แฮร์ฟอล (รีจอยส์ แชมพู 70มล แอนตี้แฮร์ฟอล หีบx8 แพค6)","U00001079","-","U00001079","","","","","","",""
"SKU-603-1541","603","1541","รีจอยส์ แชมพู 70มล แอนตี้ฟริซ (รีจอยส์ แชมพู 70มล แอนตี้ี้ฟริซ)","U00001080","-","U00001080","1490243039966","","","","","",""
"SKU-603-1542","603","1542","รีจอยส์ แชมพู 70มล แอนตี้ฟริซ (รีจอยส์ แชมพู 70มล แอนตี้ี้ฟริซ)","U00001080","-","U00001080","1490243039966","","","","","",""
"SKU-604-1544","604","1544","รีจอยส์ แชมพู 70มล ขจัดรังแค 3in1 (รีจอยส์ แชมพู 70มล ขจัดรังแค 3in1)","U00001081","-","U00001081","1490243039674","","","","","",""
